Date,Close
3/3/2015,24.52
3/4/2015,24.54
3/5/2015,24.87
3/6/2015,25.2
3/9/2015,25.59
3/10/2015,24.92
3/11/2015,25.12
3/12/2015,25
3/13/2015,24.86
3/16/2015,25.07
3/17/2015,25.04
3/18/2015,24.59
3/19/2015,24.36
3/20/2015,24.38
3/23/2015,24.67
3/24/2015,25.05
3/25/2015,24.44
3/26/2015,24.21
3/27/2015,24.26
3/30/2015,24.38
3/31/2015,24.28
4/1/2015,24.04
4/2/2015,23.95
4/6/2015,23.91
4/7/2015,24.02
4/8/2015,24.04
4/9/2015,23.99
4/10/2015,24.13
4/13/2015,23.96
4/14/2015,23.97
4/15/2015,24
4/16/2015,24
4/17/2015,23.48
4/20/2015,23.6
4/21/2015,23.74
4/22/2015,23.88
4/23/2015,24.79
4/24/2015,24.92
4/27/2015,24.87
4/28/2015,25.03
4/29/2015,24.78
4/30/2015,24.52
5/1/2015,24.96
5/4/2015,24.88
5/5/2015,24.38
5/6/2015,24.2
5/7/2015,24.39
5/8/2015,24.76
5/11/2015,24.55
5/12/2015,24.54
5/13/2015,24.75
5/14/2015,25.29
5/15/2015,25
5/18/2015,25.03
5/19/2015,24.94
5/20/2015,24.89
5/21/2015,25.14
5/22/2015,25.13
5/26/2015,24.72
5/27/2015,24.99
5/28/2015,25.49
5/29/2015,25.83
6/1/2015,26.33
6/2/2015,26.09
6/3/2015,26.1
6/4/2015,26.3
6/5/2015,26.61
6/8/2015,25.61
6/9/2015,25.43
6/10/2015,25.45
6/11/2015,25.44
6/12/2015,25.26
6/15/2015,25.25
6/16/2015,25.47
6/17/2015,25.48
6/18/2015,25.54
6/19/2015,25.75
6/22/2015,25.99
6/23/2015,26.06
6/24/2015,25.93
6/25/2015,25.92
6/26/2015,25.69
6/29/2015,24.99
6/30/2015,25.35
7/1/2015,25.43
7/2/2015,26.03
7/6/2015,25.99
7/7/2015,26.09
7/8/2015,25.67
7/9/2015,26
7/10/2015,26.25
7/13/2015,26.71
7/14/2015,26.76
7/15/2015,26.7
7/16/2015,27.61
7/17/2015,27.9
7/20/2015,28.57
7/21/2015,28.6
7/22/2015,28.45
7/23/2015,28.43
7/24/2015,28.23
7/27/2015,28
